customer_id,gender,age,state,city,estimated_salary,plan_type,device_type,payment_method,tenure_days,total_complaints,last_month_calls,last_month_data,last_month_sms,avg_calls_6m,avg_data_6m,usage_drop_ratio,recharge_consistency,churn
CUST_00001,M,32.0,Arunachal Pradesh,Hyderabad,222892.0,Prepaid,Smartphone,Cash,1512,1,11,1894,169,164.33333333333334,11590.5,0.23529411764705882,1.0,1
CUST_00002,F,72.0,Tamil Nadu,Kolkata,288538.0,Postpaid,Smartphone,UPI,196,0,34,14541,80,288.8333333333333,18573.833333333332,0.08177570093457943,0.0,0
CUST_00003,M,23.0,West Bengal,Mumbai,186829.0,Prepaid,Basic Phone,Net Banking,191,0,64,48984,70,242.83333333333334,29642.166666666668,0.13184584178498987,1.5986105077709065,0
CUST_00004,M,28.0,Arunachal Pradesh,Kolkata,179231.0,Prepaid,Smartphone,UPI,1543,0,100,8110,130,212.66666666666666,26166.0,0.21263157894736842,2.0344259359556176,0
CUST_00005,M,44.0,Karnataka,Mumbai,137409.0,Prepaid,Smartphone,Net Banking,772,0,133,29467,27,170.33333333333334,30748.833333333332,2.977777777777778,1.0671873729054748,0
CUST_00006,F,79.0,Karnataka,Kolkata,143376.0,Prepaid,Smartphone,UPI,1798,0,267,44417,130,218.0,27666.833333333332,0.8427672955974843,1.7716909687891083,0
CUST_00007,M,19.0,Mizoram,Chennai,284536.0,Prepaid,Smartphone,UPI,1737,0,200,42107,186,336.6666666666667,37344.166666666664,0.5088607594936709,1.7716909687891083,0
CUST_00008,M,53.0,Arunachal Pradesh,Mumbai,49754.0,Postpaid,Smartphone,Cash,1873,0,98,16646,143,282.8333333333333,21104.333333333332,0.6556291390728477,0.0,0
CUST_00009,F,19.0,Karnataka,Bangalore,298076.0,Postpaid,Smartphone,UPI,1286,0,472,16482,152,237.16666666666666,25587.666666666668,,0.0,0
CUST_00010,F,71.0,Arunachal Pradesh,Hyderabad,127296.0,Prepaid,Smartphone,Credit Card,1330,0,225,48404,29,340.6666666666667,19702.0,0.5159817351598174,1.49071198499986,0
CUST_00011,M,78.0,Delhi,Delhi,117946.0,Postpaid,Smartphone,Net Banking,1273,0,187,190,159,270.5,33666.833333333336,1.0386740331491713,0.0,0
CUST_00012,M,42.0,Mizoram,Bangalore,51631.0,Prepaid,Smartphone,Cash,991,0,315,22009,134,247.5,21268.833333333332,1.0326797385620916,1.6749792701868151,0
CUST_00013,M,33.0,West Bengal,Chennai,102922.0,Prepaid,Smartphone,Credit Card,1853,1,52,1950,59,146.16666666666666,20268.666666666668,0.5353535353535354,2.0816659994661326,0
CUST_00014,M,64.0,Arunachal Pradesh,Chennai,251175.0,Postpaid,Smartphone,Credit Card,1712,0,57,29305,0,270.8333333333333,17027.666666666668,0.14646464646464646,0.0,0
CUST_00015,M,18.0,Delhi,Hyderabad,44375.0,Prepaid,Smartphone,Cash,1129,0,288,37220,22,277.1666666666667,27746.0,0.609704641350211,1.674979270186815,0
CUST_00016,M,27.0,Mizoram,Delhi,286967.0,Postpaid,Smartphone,Net Banking,1069,1,444,35506,170,358.6666666666667,26182.5,1.1710526315789473,0.0,0
CUST_00017,F,61.0,Tripura,Hyderabad,280517.0,Prepaid,Smartphone,Cash,756,0,216,23548,163,294.1666666666667,22275.666666666668,2.8933333333333335,1.247219128924647,0
CUST_00018,F,53.0,Mizoram,Kolkata,,Prepaid,Basic Phone,Net Banking,66,0,395,7400,146,249.0,37365.5,2.1176470588235294,1.5723301886761007,0
CUST_00019,F,69.0,Arunachal Pradesh,Mumbai,20486.0,Prepaid,Smartphone,Net Banking,1078,0,441,35307,144,244.83333333333334,17766.0,1.8493723849372385,1.2472191289246473,0
CUST_00020,M,26.0,Mizoram,Delhi,296209.0,Prepaid,Smartphone,Credit Card,368,0,201,28178,38,265.1666666666667,27852.333333333332,,2.1343747458109497,1
CUST_00021,M,75.0,Tamil Nadu,Chennai,171542.0,Prepaid,Smartphone,UPI,377,0,212,11003,163,258.1666666666667,27513.5,0.6719242902208202,1.707825127659933,1
CUST_00022,M,66.0,West Bengal,Kolkata,125133.0,Prepaid,Basic Phone,UPI,1000,0,227,20159,154,161.66666666666666,26228.333333333332,1.2808988764044944,1.699673171197595,0
CUST_00023,M,46.0,Tripura,Bangalore,137402.0,Postpaid,Basic Phone,Net Banking,738,0,223,46318,176,211.0,22330.666666666668,0.5989304812834224,0.0,0
CUST_00024,M,76.0,Arunachal Pradesh,Kolkata,166456.0,Prepaid,Smartphone,UPI,434,1,172,17100,3,279.0,32028.666666666668,2.0352941176470587,1.7716909687891083,1
